species1,species2,phi_coefficient,p_value,significant
山斑鸠 Streptopelia orientalis,松鸦 Garrulus glandarius,-0.016147947019964574,0.8910150860267575,False
山斑鸠 Streptopelia orientalis,松鼠 Sciurus vulgaris,-0.009650244130138862,0.9347381334010685,False
山斑鸠 Streptopelia orientalis,狍 Capreolus pygargus,0.0,1.0,False
山斑鸠 Streptopelia orientalis,白眉地鸫 Geokichla sibirica,0.043082730520436346,0.7146866428496104,False
山斑鸠 Streptopelia orientalis,紫貂 Martes zibellina,0.0629780829734981,0.5930739811615182,False
山斑鸠 Streptopelia orientalis,花尾榛鸡 Tetrastes bonasia,0.04272345199907282,0.7169630985055419,False
山斑鸠 Streptopelia orientalis,苍鹰 Accipiter gentilis,0.20211989324217133,0.08633712986101405,False
山斑鸠 Streptopelia orientalis,虎斑地鸫 Zoothera aurea,0.06254072988376248,0.5956435345881892,False
山斑鸠 Streptopelia orientalis,豹猫 Prionailurus bengalensis,0.2255507656658138,0.05563782789803362,False
山斑鸠 Streptopelia orientalis,貉 Nyctereutes procyonoides,0.21159560006522188,0.07258231816059368,False
山斑鸠 Streptopelia orientalis,野猪 Sus scrofa,-0.013809500004468888,0.9067194018807195,False
山斑鸠 Streptopelia orientalis,马鹿 Cervus elaphus,0.0629780829734981,0.5930739811615182,False
山斑鸠 Streptopelia orientalis,黄喉貂 Martes flavigula,0.011831315759471066,0.9200330864240143,False
山斑鸠 Streptopelia orientalis,黄鼬 Mustela sibirica,0.2527553506359416,0.03197681938671204,True
山斑鸠 Streptopelia orientalis,黑熊 Ursus thibetanus,0.09599018644671972,0.41535642988040933,False
斑鸫 Turdus eunomus,未知UN ,0.2729604168420058,0.02055030164647631,True
斑鸫 Turdus eunomus,松鸦 Garrulus glandarius,0.1383496476323666,0.2404207863684349,False
斑鸫 Turdus eunomus,松鼠 Sciurus vulgaris,0.1889822365046136,0.1088094300405461,False
斑鸫 Turdus eunomus,灰背鸫 Turdus hortulorum,0.464058426867722,8.227789875003833e-05,True
斑鸫 Turdus eunomus,狍 Capreolus pygargus,0.0,1.0,False
斑鸫 Turdus eunomus,白眉地鸫 Geokichla sibirica,0.2729604168420058,0.02055030164647631,True
斑鸫 Turdus eunomus,白背啄木鸟 Dendrocopos leucotos,0.4249670751074407,0.00031099480680640834,True
斑鸫 Turdus eunomus,白腹鸫 Turdus pallidus,0.43706146852900135,0.00020841696234785712,True
斑鸫 Turdus eunomus,紫貂 Martes zibellina,0.07254762501100116,0.538167125969846,False
斑鸫 Turdus eunomus,花尾榛鸡 Tetrastes bonasia,0.23904572186687875,0.04252247799805153,True
斑鸫 Turdus eunomus,虎斑地鸫 Zoothera aurea,0.3061862178478973,0.009374768459434857,True
斑鸫 Turdus eunomus,野猪 Sus scrofa,-0.07726674092862558,0.512062193855614,False
斑鸫 Turdus eunomus,马鹿 Cervus elaphus,0.07254762501100116,0.538167125969846,False
斑鸫 Turdus eunomus,黄喉貂 Martes flavigula,-0.04212627318711346,0.7207524951130112,False
斑鸫 Turdus eunomus,黄鼬 Mustela sibirica,-0.08838834764831845,0.4532547047537363,False
斑鸫 Turdus eunomus,黑熊 Ursus thibetanus,0.1620509308880411,0.16911664289919215,False
星鸦 Nucifraga caryocatactes,未知UN ,0.043082730520436346,0.7146866428496104,False
星鸦 Nucifraga caryocatactes,松鸦 Garrulus glandarius,0.05651781456987601,0.6315334959974808,False
星鸦 Nucifraga caryocatactes,松鼠 Sciurus vulgaris,0.16405415021236064,0.16390858227367577,False
星鸦 Nucifraga caryocatactes,棕熊 Ursus arctos,0.530638852672751,6.712084192894707e-06,True
星鸦 Nucifraga caryocatactes,灰背鸫 Turdus hortulorum,0.20211989324217133,0.08633712986101405,False
星鸦 Nucifraga caryocatactes,狍 Capreolus pygargus,0.0,1.0,False
星鸦 Nucifraga caryocatactes,白眉地鸫 Geokichla sibirica,0.2255507656658138,0.05563782789803362,False
星鸦 Nucifraga caryocatactes,白腹鸫 Turdus pallidus,0.23733537178633965,0.04402450621085252,True
星鸦 Nucifraga caryocatactes,紫貂 Martes zibellina,0.15188831775961306,0.19746237044050075,False
星鸦 Nucifraga caryocatactes,花尾榛鸡 Tetrastes bonasia,0.18920385885303678,0.10839525270268358,False
星鸦 Nucifraga caryocatactes,虎斑地鸫 Zoothera aurea,0.14592836972877912,0.21562586894988767,False
星鸦 Nucifraga caryocatactes,野猪 Sus scrofa,-0.013809500004468888,0.9067194018807195,False
星鸦 Nucifraga caryocatactes,长尾林鸮 Strix uralensis,0.1833546384726384,0.11975192400551138,False
星鸦 Nucifraga caryocatactes,马鹿 Cervus elaphus,0.0629780829734981,0.5930739811615182,False
星鸦 Nucifraga caryocatactes,黄喉貂 Martes flavigula,-0.06561002375706683,0.5777190831085348,False
星鸦 Nucifraga caryocatactes,黄鼬 Mustela sibirica,-0.18053953616852972,0.12554001464545306,False
星鸦 Nucifraga caryocatactes,黑熊 Ursus thibetanus,0.17543034074745328,0.13659910734875602,False
普通䴓 Sitta europaea,未知UN ,0.34045327482409776,0.0038666351083865846,True
普通䴓 Sitta europaea,松鸦 Garrulus glandarius,0.21693045781865616,0.06566319190946501,False
普通䴓 Sitta europaea,松鼠 Sciurus vulgaris,0.12964074471043288,0.27131547988984783,False
普通䴓 Sitta europaea,狍 Capreolus pygargus,0.0,1.0,False
普通䴓 Sitta europaea,白眉地鸫 Geokichla sibirica,0.49365724849494175,2.8040788842775832e-05,True
普通䴓 Sitta europaea,白腹鸫 Turdus pallidus,0.2340071757206818,0.04707589741358076,True
普通䴓 Sitta europaea,紫貂 Martes zibellina,0.12441815044835988,0.2910947793073635,False
